year,month,day,hour,minute,flowRate,flowSpeed,totalFlowRate,positiveTotalFlow,positiveTotalFlowDecimal,flowRate,flowSpeed,totalFlowRate,positiveTotalFlow,positiveTotalFlowDecimal,ch1Watt,ch2Watt,ch3Watt,totalPositiveWattHour,totalNegativeWattHour,ch1Current,ch2Current,ch3Current,ch1Voltage,ch2Voltage,ch3Voltage,ch1PowerFactor,ch2PowerFactor,ch3PowerFactor,voltage12,voltage23,voltage31,ch1Hz,ch2Hz,ch3Hz,i1THD,i2THD,i3THD,v1THD,v2THD,v3THD,ain1,ain2,ain3,ain4,ain5,voltage1,voltage2,voltage3,voltage4,voltage5,value1,value2,value3,value4,value5
2017,5,11,7,0,0.0,0.0,218047.0,218075.0,1051656188.0,0.0,0.0,151878.0,151878.0,1049729172.0,337.8333333333333,0.0,360.26666666666665,42684581.666666664,19481100.0,1.8994725700572355,0.0,2.1192695617946113,222.2433333333334,219.8316666666666,220.83499999999995,0.8003166666666667,1.0,0.7698166666666669,382.88833333333315,381.665,383.75666666666655,59.98416666666666,59.98416666666666,59.98416666666666,8.513333333333334,0.0,9.56,2.4249999999999994,2.608333333333333,2.7683333333333335,13204.610169491525,15314.57627118644,17268.881355932204,17352.542372881355,2248.0,1.329809984918368,1.5423004627227783,1.7391146340612638,1.7475399748753693,0.22639159858226776,17.7601134392779,23.394330938731667,28.61288877602205,28.836287975572947,0.0
2017,5,11,8,0,0.0,0.0,218047.0,218075.0,1051656188.0,0.0,0.0,151878.0,151878.0,1049729172.0,332.54237288135596,0.0,360.06779661016947,42685276.27118644,19481100.0,1.8771874049847324,0.0,2.1238843451667777,220.94576271186443,217.8101694915254,219.02711864406777,0.8018983050847457,1.0,0.7740677966101697,380.0135593220338,378.3491525423729,381.0542372881357,59.99830508474578,59.99830508474578,59.99830508474578,5.637288135593223,0.0,5.000000000000002,2.4898305084745767,2.9474576271186446,3.19322033898305,13089.333333333334,15377.4,17325.066666666666,17380.666666666668,2248.0,1.3182006796201071,1.5486273268858592,1.7447729527950286,1.7503723164399465,0.22639159858226776,17.452290934741164,23.562088709115653,28.762919962156456,28.91138794509846,0.0
2017,5,11,9,0,0.0,0.0,218047.0,218075.0,1051656188.0,0.0,0.0,151878.0,151878.0,1049729172.0,338.6896551724138,0.0,369.3448275862069,42685967.24137931,19481100.0,1.8966581258906183,0.0,2.1630215736628413,223.11551724137934,219.80517241379312,221.19137931034476,0.8004310344827585,1.0,0.7719827586206899,383.63103448275854,381.9534482758622,384.8189655172413,59.991034482758636,59.991034482758636,59.991034482758636,6.115517241379312,0.0,6.0793103448275865,2.6568965517241376,3.1913793103448276,3.458620689655173,13066.64406779661,15443.389830508475,17407.050847457627,17450.64406779661,2248.0677966101694,1.315915687609527,1.5552730237023304,1.7530294091014538,1.7574196023456121,0.2263984263448392,17.391704022305614,23.738300376039813,28.981841163171204,29.09824780810796,0.0
2017,5,11,10,0,5.614656349708294,0.04831165923126813,218050.2931034483,218078.3275862069,1058488880.8103448,5.381591984203884,0.08017257361539773,151881.32142857142,151881.32142857142,1052155423.5178572,334.4035087719298,0.0,363.43859649122805,42686677.19298246,19481100.0,1.8869589694815279,0.0,2.144908768584644,222.14210526315787,218.7982456140351,220.03508771929825,0.7977894736842108,1.0,0.7700526315789474,381.9035087719298,380.0824561403509,382.97192982456124,59.986666666666665,59.986666666666665,59.986666666666665,8.136842105263158,0.0,6.698245614035087,3.4087719298245602,3.7666666666666675,4.36842105263158,12359.4,13225.666666666666,17458.066666666666,17483.2,2248.133333333333,1.2446905553340912,1.331930540005366,1.7581671118736266,1.7606982429822287,0.2264050265153249,15.503158752825119,17.816340281549476,29.118068137504675,29.185181465748133,0.0
2017,5,11,11,0,192.63155323664347,1.6575101767977078,218133.1,218161.4,1053247611.9333333,177.2765094789408,2.640986966127056,151954.11864406778,151954.15254237287,1052884649.7118644,51295.311475409835,48535.57377049181,50768.34426229508,42744495.08196721,19502431.147540983,250.48615088530818,240.82036022566624,247.64414575229358,219.84590163934433,216.28524590163934,217.54098360655732,0.9097704918032788,0.9443934426229506,0.9154754098360658,377.7360655737705,375.73114754098344,378.8245901639344,59.99475409836066,59.99475409836066,59.99475409836066,11.04426229508197,11.69344262295082,11.099999999999996,3.6606557377049183,4.008196721311476,4.673770491803278,10526.266666666666,11660.733333333334,19276.8,18164.0,2248.9333333333334,1.0600793461004894,1.1743292172749837,1.9413281321525573,1.8292602558930715,0.2264855941136678,10.608164321043157,13.637517119026809,33.97461058748327,31.00311371820235,0.0
2017,5,11,12,0,228.26716791788738,1.964139022429784,218358.98333333334,218387.26666666666,1053221394.25,221.98923263549804,3.30709734360377,152171.85,152171.9,1052834873.7666667,62994.933333333334,59684.95,62275.3,42930728.333333336,19572286.666666668,303.93464029704654,292.07307902711034,299.3162603070805,223.10166666666655,219.69500000000005,220.86833333333337,0.9290166666666667,0.9301499999999999,0.9420166666666667,383.5133333333333,381.57000000000005,384.52833333333336,59.99483333333333,59.99483333333333,59.99483333333333,11.151666666666664,12.706666666666669,11.471666666666666,3.2366666666666672,3.613333333333332,4.159999999999999,9872.983606557376,11293.639344262296,19568.196721311477,18141.83606557377,2250.8852459016393,0.994288505100813,1.1373599240037262,1.9706741141491249,1.8270281768236003,0.22668217024842247,8.863710115404102,12.657270656956713,34.75272378583519,30.943929800488377,0.0
2017,5,11,13,0,132.4321175257365,1.1395203975339732,218566.5,218595.08333333334,1051905217.1666666,127.9801579316457,1.9065917571385702,152373.95,152373.95,1052245781.1833333,34414.262295081964,32610.622950819674,34145.60655737705,43096585.24590164,19635513.1147541,167.4294621621714,160.59153694124484,165.61080965066301,221.5590163934426,218.3491803278689,219.57377049180332,0.8736885245901642,0.9616885245901639,0.8673278688524587,381.01475409836064,379.3049180327869,382.077049180328,60.01163934426229,60.01163934426229,60.01163934426229,11.519672131147543,7.211475409836067,10.511475409836065,3.0672131147540984,3.4836065573770485,3.9606557377049185,10114.266666666666,11342.0,18807.733333333334,17948.8,2250.0666666666666,1.0185876419146855,1.1422302226225536,1.89408936103185,1.8075878957907359,0.22659973154465357,9.508005442295687,12.786407369289869,32.722067350482504,30.428467777336056,0.0
2017,5,11,14,0,119.12829465866089,1.02504681472977,218637.18333333332,218665.55,1050891595.1333333,110.04127770264944,1.6393462669104337,152438.23333333334,152438.25,1050759927.0333333,29375.508196721312,27807.049180327867,29301.147540983606,43145316.39344262,19653945.901639346,143.58316996972823,137.51106247579742,142.6888665097091,220.9081967213114,217.59508196721316,218.91311475409844,0.862540983606557,0.9668524590163935,0.858295081967213,379.78852459016383,378.05409836065576,380.92459016393445,60.01278688524592,60.01278688524592,60.01278688524592,10.032786885245898,7.267213114754098,9.383606557377048,3.3,3.772131147540983,4.275409836065574,10667.213114754099,11527.147540983606,18532.45901639344,17870.885245901638,2249.377049180328,1.0742737807211329,1.1608760650040673,1.8663670254535363,1.799741246661202,0.2265302805138416,10.984531924715709,13.280804730166818,31.987005385094868,30.22041267625814,0.0
2017,5,11,15,0,205.87093511678404,1.7714292533316855,218835.7966101695,218864.11864406778,1052882477.8305085,200.7456754980416,2.9906202315770347,152629.22413793104,152629.24137931035,1053828237.2413793,54776.983606557376,51420.262295081964,54176.57377049181,43303201.63934426,19713506.557377048,266.8313519522315,254.2404818255566,262.33676936162,221.1934426229508,217.78524590163929,219.01311475409827,0.9168360655737706,0.9369672131147537,0.9279016393442625,380.19836065573764,378.3147540983606,381.2622950819672,60.00524590163938,60.00524590163938,60.00524590163938,11.918032786885243,12.377049180327871,11.896721311475412,2.642622950819673,3.1377049180327865,3.57704918032787,9880.852459016394,11252.72131147541,19026.819672131147,17739.27868852459,2249.7049180327867,0.9950809605786057,1.1332391500473022,1.9161531045788625,1.7864874210514006,0.2265633000213592,8.884722193529445,12.548007705616623,33.30709088320974,29.86898546428591,0.0
2017,5,11,16,0,0.0,0.0,218931.0,218959.0,1060700141.0,0.0,0.0,152722.0,152722.0,1059313858.0,343.64516129032256,0.0,360.9193548387097,43372956.451612905,19740200.0,1.9093491815824446,0.0,2.0942656411121456,224.31451612903223,220.9,222.33387096774194,0.802483870967742,1.0,0.7753387096774192,385.6064516129033,383.8822580645161,386.85,60.00612903225805,60.00612903225805,60.00612903225805,9.114516129032257,0.0,7.90161290322581,3.003225806451613,3.3000000000000003,3.7838709677419344,10584.6,11397.866666666667,17286.0,17145.266666666666,2248.266666666667,1.0659539739290873,1.147856452067693,1.740838627020518,1.7266656577587127,0.22641845444838207,10.76393097589124,12.935587703031343,28.65860071285955,28.2828022664577,0.0
